model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lam,n_clusters,mean_per_class_coverage
AlexNet,ClassConditionalConformal,0.95,0.9614849187935035,0.9614849187935035,1.0,0.9614849187935035,0.03851508120649652,1.5270563260000358,0.05,,,0.9549652793102388
GFNet,ClassConditionalConformal,0.95,0.9675174013921114,0.9675174013921114,1.0,0.9675174013921114,0.03248259860788863,1.552573544999973,0.05,,,0.9722606335715066
ViT,ClassConditionalConformal,0.95,0.9470997679814385,0.9480278422273782,1.0,0.9480278422273782,0.05197215777262181,1.961598886000047,0.05,,,0.9616479228988312
AlexNet,ClusteredConformal,0.95,0.9582366589327146,0.9582366589327146,1.0,0.9582366589327146,0.04176334106728538,3.817709116000003,0.05,,4.0,0.9431178796861696
GFNet,ClusteredConformal,0.95,0.9517401392111369,0.9517401392111369,1.0,0.9517401392111369,0.04825986078886311,4.683385027999975,0.05,,4.0,0.9532949077364963
ViT,ClusteredConformal,0.95,0.9679814385150812,0.9689095127610209,1.0,0.9689095127610209,0.031090487238979118,11.836700409999992,0.05,,4.0,0.9643327756787686
AlexNet,RAPS,0.95,1.0,1.0,1.0,1.0,0.0,0.37391961199995194,0.05,0.01,,1.0
GFNet,RAPS,0.95,0.9990719257540603,1.0,1.0,1.0,0.0,0.38174056000002565,0.05,0.01,,0.9992019154030327
ViT,RAPS,0.95,0.9958236658932714,1.0,1.0,1.0,0.0,0.39733107199998585,0.05,0.01,,0.9953724062576341
AlexNet,RC3P,0.95,0.9638051044083527,0.9638051044083527,1.0,0.9638051044083527,0.03619489559164733,1.5594411229999992,0.05,,,0.9559051379940511
GFNet,RC3P,0.95,0.9726218097447796,0.9730858468677495,1.0,0.9730858468677495,0.02691415313225058,1.5238600499999961,0.05,,,0.9796562854802918
ViT,RC3P,0.95,0.9498839907192576,0.9508120649651972,1.0,0.9508120649651972,0.04918793503480278,1.5705355410000266,0.05,,,0.9642317628636796
AlexNet,SplitConformal,0.95,0.9522041763341067,0.9522041763341067,1.0,0.9522041763341067,0.04779582366589327,2.4289982150000355,0.05,,,0.9094496138704395
GFNet,SplitConformal,0.95,0.9554524361948956,0.9554524361948956,1.0,0.9554524361948956,0.044547563805104405,2.021140781999975,0.05,,,0.9270447104727059
ViT,SplitConformal,0.95,0.9661252900232019,0.9670533642691416,1.0,0.9670533642691416,0.032946635730858466,1.7165362609999875,0.05,,,0.9621735238412376
